text,label,source
Тамақтарыңыз өте дәмді екен. Көп көп рақмет,5,2gis
"Пасуда кір , официанттардын устінен сасык иіс шығып тұр, бакал вообще ужс сүртілмеген, везде барсаң базар сияқты, заказымды ұмытып кеткен, арен келеді столға заказ алшы деп журемиз и тазалық жоқ, бізден заказды кыз алды но үстінен иіс қатты шығып тұр ужсссс арен дегенде шыдадық",1,2gis
"Ыдыстары жуылмаган таза емес , стакан акелип берди ишинде пияз жур, ещё биз оган су куйып ишип отырмыз,биреу емес бирнеше официанттарга айтсан ундеми карап не истейын ауыстырып берейынба деп карап тур сонда конактын конилинен шыгуга ешкандай шара колданбайсыздарма",1,2gis
"Түскі 12де келдік. Е анау жоқ, е мынау жоқ. Не бар сонда, адамдар тамақ ішуге келеді ғой, тамақ жоқ!",1,2gis
"Масқара! Кеше ауызашарда масқара болдық, 15200 теңгеге нан ішіндегі қуырдаққа тапсырыс беріп едік. ішінде болуы керек қоспалар жоқ, ет 1 келіге де жетпейді, кортобы да аз, сәбізін көрмедік, өте нашар! 6 адам жеу керек тағамды 2 адам жеп тоймай қалды. Қонақтардан ұялғанымызай. Тапсырыс берерде мұқият болыңыздар!!!!",1,2gis
Шашлык өте нашар. Амал жоқ жедік,1,2gis
"Өте нашар қызмет көрсету, тамақтары тым кеш келеді +суық күйінде келеді. Столдың үстері таза емес дұрыс сүртілмейді",1,2gis
"Қызмет көрсету өте өте нашар. Адам таңдап қызмет көрсетеды, айтылған затты уақытында әкелмейді",1,2gis
"Қызмет көрсетуі нашар! Бірақ, тағамдары жақсы.",2,2gis
"Әжетхананы тазалап, жылы су ағызып қоюға болады ғой. 2 кабинкасы бар әжетхананың. 1-нің іші лас, жылы су жоқ.",1,2gis
"Сорпа айтқан едік, муздай қылып алып келді. Ысытып алып келіңіз десек 2 ші алып келгені жылы болды. Шашликте жып жыл.",1,2gis
"Өте керемет, тиімді, әрі элитный. Кесенеге де Керуенге де жақын өте, көремет барлығы",5,2gis
"Сәлеметсіз бе. 6.01.23 тойымыз осында өтті. Өте ұнады, рақмет. Еңбектеріңіз жемісті болсын!!! Іші әдемі, тамақтары тәтті, администратор мен официанттары пысық.",5,2gis
"27.12.22ж күні Жаңа жылдық корпоративте болдық. Банкет залы керемет ұнады. Тағамдары да, услугалары да ұнады. Администраторларына, қызметкерлеріне рахмет айтамын",5,2gis
"Мейрамхананың администраторына, аспазшыларына көп рахмет! Еңбектеріңіздің жемісін көріңіздер",5,2gis
