text,label,source
Осыны сепкесін салонымнан күшті іс шығып тұр,5,flip
Күшті зат,5,flip
"Өте дәмді, онымен қоса отандық өнім",5,flip
"Тәтті, дәмді және пайдалы. Отандық өнім, дұрыс тамақтануды ұстанатын жандарға таптырмас паста",4,flip
Жақсы қара зере майы. Капсулада өте ыңғайлы,4,flip
Кітаптың сапасы керемет!,5,flip
"Ерлік, ер мінез, ақиқат-осы қысқаша мазмұны. Өте керемет кітап",5,flip
"Сапасы жақсы, тек орфографиялық қателіктері баршылық. Соны дұрыстаса тіпті керемет болар еді.",3,flip
"Кітап мазмұны, сапасы да керемет!",5,flip
"Жақсы, мықты.",5,flip
Сапасы мықты. Бастысы отандық өнім,5,flip
"Өте жақсы, ықшам.",5,flip
Жақсы,5,flip
"Карандашты отзывтардың көмегімен алдым. Расында өте жақсы екен, ұштары сына қоймайды кәпелімге",5,flip
Жақсы қаламдар екен бірінші рет алып отырмын келесі жолы тағыда аламын,5,flip
"Жақсы, сапалы",5,flip
Өте керемет! Сапалы және жеткізілуіде тез рақмет Флип ұжымы!!!,5,flip
"Сапасы ұнады, рахмет Флип!!!",5,flip
"Тез жеткізілді, Флип керемет!",5,flip
Сапалы нәрсе,5,flip
"Сапасы көңілімізден шықты, флип.кз-ке көп рақмет!",5,flip
Жақсы дүние!,5,flip
Тазалағыш қарындаштың сапасы көңілімізден шықты. Көп рақмет!,5,flip
"Шағын, жеңіл пенал. Пеналдың сапасы көңілімізден шықты, флип.кз көп рақмет!",5,flip
"Өте әдемі түс, cәл жұқалау",4,flip
"Сапасы өте жоғары. Бір өлшемге тарлау. Жасөспірім балаларға шомылу киімін табу оңай емес, алайда осы киім сапасы көңілімізден шықты, флип.кз-ке көп рақмет!",4,flip
"Қызымызбен бірге флип.кз сайтынан таңдадық. Сапасы көңілімізден шықты, флип.кз-ке көп рақмет!",5,flip
"Полимер сазын тек флип.кз-тен ғана тапсырыс береміз. Көңілімізден шықты, флип.кз-ке көп рақмет!",5,flip
Жылдам жеткізгеніңізге рахмет,5,flip
"Көптеген іздеген махер жамылғы флип.кз-тен табылды, бағасы, сапасы жақсы. Жылы үйде ең қажетті жамылғы. Жағажайға да алып баруға болаы. Алдымен күлгін түсіне тапсырыс бердім. Кейін мята түсіне де тапсырыс бердім. ",5,flip
"бағасы, мұқабасы жақсы",5,flip
"Шомылауға арналған киімнің сапасы өте жақсы, матасы қалың, кеудесінде паралон қабаты бар. Ең алдымен осы фирмадан жасөспірім қызыма шомылу киіміне тапсырыс берген едім, сапасы өте ұнады, сондықтан өзіме де алдым.",5,flip
"Көлемі шағындау, бірақ сапалы!",4,flip
"Өте жеңіл оқылатын кітап, ұнады, бір отбасында туып өскен ағалы-інілі екі еркектің мінезін керемет ашқан, соңында тіпті жылауға қалдым",5,flip
Oтбасылық құндылықтар жайлы қысқа жазылған керемет туынды,5,flip
"Кітаптың беттері, шрифті сапалы және оқуға ыңғайлы. Романға келетін болсақ өте әсерлі. Табиғатты суреттеуі, мінез бейнелерді ашуы ұнады. Әрине романның соңы жүректі ауыртты.",5,flip
"Өте керемет туынды. Бір деммен, бас көтермей оқып бітірдім.",5,flip
"Жақсы, сапалы эспандер. Тез жеткізілді. Егде  жастағы және науқас жандарға таптырмас дүние.",5,flip
"Қазақтың ою-өрнектері, кесте өнері жайлы керемет айтылған, түсіндірілген. Ою, тігу әдістері да көрсетілген.",5,flip
Керемет туынды!,5,flip
"Өте бай жазылған. Сол кездің байлығы, махаббаты, шексіз суреттеулермен көрсетілген. Және әрине махаббат жайлы үздік роман!",5,flip
"Кітап сапасы керемет. Өте жеңіл оқылады, керемет жазылған",5,flip
Мұқабасы керемет. Парақтары өте жұқа. Жеңіл кітап.,4,flip
"Мұқабасы да, парақтары да өте керемет. Жеңіл, әрі тез оқылады. Бастысы бала тәрбиесіндегі біз жіберетін қателіктерді ""соқырға таяқ ұстатқандай"" көрсетті. Өте тамаша кітап. Бағасыда тиімді.",5,flip
"Кітап келді. Оқып бастадым. Әзірге бір деммен оқып жатырмын, ары қарай солай болады деп ойлаймын.",5,flip
Судан басқа пайдалы ақпарат көрмедім,1,flip
"Тез әрі, жеңіл оқылады. Сауатты аударылған.",5,flip
"Кітап тез жеткізілді, сырты целофанға оралган, кітап беттері ақ, сыйлыққа алынды. Сыйлық ұнайды деп ойлаймын.",5,flip
"2 күнде оқып бітірдім, сериал мен кітап айырмашылығы жер мен көктей, мүлдем ұқсамайды. Ұнады, рахмет",5,flip
"Кешке жатар алдында жағамын, ұнады",5,flip
"Жақсы екен, рахмет!",5,flip
"Супер сотка, өте ұнады, 2 симкалы, рахмет!",5,flip
Жақсы сыйлық,5,flip
"Қатты құрылған майдан исi бар, жаққанда тез сiнедi терiге",4,flip
Бетті жақсы ылғалдандырады. Әсері бірден байқалды,5,flip
"Сапасы жақсы. Суреттері жақсы, бірақ шайтанның сүретін салғаны ұнамады",3,flip
Қызықты кітап. Бізге ұнады,5,flip
"Кітапты тілі жеңіл. Қазақша аудармасы өте жақсы. Қызықты әнгіме. Көрнекті, визуальді кітапша екен. Балаларыма ұнады.",5,flip
"Кеше ғана алдым, әлі оқымадық. бірақ тысы да қатты, беттері де қатты, маған ұнады",5,flip
Сапасы жақсы. ұнады. суреттерінде ұят нәрсе жоқ.,4,flip
"Керемет кітап, сюжет деген тамаша. Шынайы боямасыз өмір. Әрбір адамның оқуы керек. Тым құрығанда тыныш елде өмір сүріп жатқанымызға шүкіршілік етуді еске салады",5,flip
Кітап өте жақсы. Орташа көлемді. Барлық тақырыптар қамтылған.,5,flip
Күшті кітап. Сыйлыққа да алуға болады,5,flip
Өте тамаша жазылған. Өзім балалар үйінде жұмыс істеген адам ретінде балаларды. Жақсы түсінгендіктен бе әйтеуір бір күнде оқып шықтым. Әкеме де оқуға бердім. Ол кісі де тез оқып бітті. Ұнатты.,5,flip
Өте жұқа кішкентай кітапша бағасына сай,3,flip
"Мүлдем мағынасы жоқ кітаптың. Ибалы ит, От",1,flip
Бізге қатты ұнады. ұлым бірден бәрін тауып ойнайды. қызықты. Танымды дүние,5,flip
Өте кішкентай болып шықты. Алған кезде таң қалдым.,4,flip
Күшті. заказ алған кезде таң калдым. неге сонша үлкен қылыа ораған деп. сөйтсем көлемі үлкен екен. заказ беріңіздер. Өкінбейсіздер. бізге ұнады,5,flip
Флип кз дүкеніне мүлде басқа кітаптар үшін барғам. Бірақ осы кітапты алдым. Өкінбеймін. Кітапты бірден оқып шықтым.,5,flip
Таяз түсіндіреді,3,flip
Мәліметтер қысқа жазылған,2,flip
Ақпараттар қысқаша берілген.,3,flip
"Түсі бозғылттау, бояуы біркелкі жағылмаған, өте жұқа, жұмсақ майысып тұр. өз бағасына тұрмайтын сияқты. сыйлыққа екі түрінен алып едім. екеуі де ұнамады",2,flip
"жалғасын тапқан болар мүмкін? 1-2 қате бар. екінші суретте ауызашар туралы айтылып, сәресі туралы жазып кетті ма бірнәрсе, осы абзацты түсінбедім",3,flip
жақсы. ұнады,4,flip
"Жаман емес, сапалы, қатты. Бірақ шала аударылған әңгіме сияқты әсер қалдырады.",4,flip
"Осы кітапті 7 жасар балама мектептен тыс оқу үшін алғанмын. Мәтіндері кішкентай емес, орташа. Ертегілері қызық. Маған ұнап тұр.",5,flip
"өте керемет, балаларға жақсы кітап, түсінуге оңай ертегілер",5,flip
7 жасар ұлымның сөз қорына үлкен үлесін қосып жатыр.,5,flip
"Сәлем Досым. Мәселеге көшсек, кітап жайлы сын пікірім жоқ керісінше тек қана жақсы ойдамын. Автордың ойын түсіне алдым. Азанда ерте тұрудың қаншалықты маңызды рөл атқаратынын ұғындырып қана қоймай қалай ерте тұру жолдарында көрсетті. Бұл мен үшін шыныменде МАГИЯ болды. Кітаптың сапасы және ішіндегі мотивация беретін сөздері көңіліме майдай жақты. Кім не айтсада кітап үмітімді ақтады",5,flip
"Көптен алғым келіп қызығып жүр едім, сәті түсіп алдым. Почта арқылы 12 күнде әрен жетті. Осы доставка жағына дұрыстап көніл бөлсеніздер екен. Жалпы кітап өте тамаша. Оқып жатырмын. Тілі женіл, түсінікті заманауі кітап. Ішінен алар нәрселер көп екен. Авторды өмірбаяны шүкіршілікке, сабырлыққа, табандылыққа үйретеді. Тәнертен ерте тұру, зарядка жасауды жақсы көрмим, бірақ осы кітапті оқып бітіргенше ойым өзгеріп, оған да үйренем деген сенімдемін. Рахмет!",5,flip
Өте жақсы кітап! Көп рақмет,5,flip
"Кiтап керемет, сатып алғаныма өкiнбеймiн!",5,flip
"Оқыған кітабымды оқырманмен бөлісуді жөн көрдім. Кітап «Самый богатый человек в Вавилоне» деп аталады. Автор: Джордж Клейсон .. Бұл кітап жеке кәсібін жаңадан ашқан, немесе кәсібі аяққа тұра алмай жүрген оқырманға арналады. Жеке өзіме пайдасы көл-көсір болды десем артық айтпаған болармын. Бұл кітапта, құлдың, қалай Вавилоннын ең бай адамына және алтынның 5 заң жайлы айтылған. Тамшыдан теңіздің табиғатын білуге болады, сол сияқты кітаптан қысқа үзінділер беруді жөн көрдім",5,flip
"Кітап өте керемет! Оқуға кеңес беремін. Жер бетіндегі бірінші миллионерлер жайлы, олардың калай бай болғандығы жайлы жазылған, байлык жайлы көп жақсы мәліметтер бар.",5,flip
Кітаптың қазақша нұсқасын оқығанмын. Өте тамаша. Автордың бұл кітапты жазу барысында Вавилонның сына тақтайшаларын пайдаланғаны шын екен. Мұндай далалықтың ежелгі Бабылдан (Вавилон) жеткеніне таң-тамашамын. Оқуға кеңес беремін. Енді кітаптардағы ақыл-кеңесті қалтқысыз орындауға тырысамын.,5,flip
