text,label,source
"Сапасы жақсы, күлгін түсін алып келді. Табаны еденге жабысып қалу керек басқышын басқанда, бірақ жабыспайды.",4,kaspi
Дәмі керемет.,5,kaspi
Тәтті. Бірақ Гербер пюресіне жетпейді.,5,kaspi
"Балама бірінші рет бердім, керемет.",5,kaspi
Кішкене қышқылдау екен. Егіз қыздарыма онша ұнай қойған жоқ.,4,kaspi
"Сапасы керемет, қызыма гербердің пюрелері ұнайды. Уақытылы жеткізіп берді, үлкен рахмет!",5,kaspi
"Күшті пюре, балама ұнайды.",5,kaspi
Дәмі күшті.,5,kaspi
"Бұл өніміді сүйіп жейді қызым. Тамаша дəмі де, табиғи дəм, артық қант жоқ. Бізге қатты ұнайды.",5,kaspi
"Менің ұлыма Нутрилон мен Хумана жағады. Іші ауырмайды, жақсы ішеді",5,kaspi
"Тауардың қаптамасы ашылмаған, тегін әрі жылдам жеткізіп берді.",5,kaspi
"Сапасы өте жақсы, жиналуы да ыңғайлы. Дөңгелегі қыста қармен жүруге де ыңғайлы.",5,kaspi
"Жылдам жеткізді. Қатты ұнады. Сапалы. Жеп-жеңіл, дәл фотодағыдай бесік арба. Рахмет!",5,kaspi
"Жақсы майлықтар, көпке дейін жетеді. Басқаларына қарағанда арзандау.",5,kaspi
Сапасы өте жақсы. Қолдануға өте ыңғайлы.,5,kaspi
Барлығы ұнады.,5,kaspi
"Ыңғайлы, өткір.",4,kaspi
"Өте ыңғайлы, жеңіл, бауы білекті терлетпейді, барлық функциясы жылдам жұмыс жасайды. Көрсетілген уақыттан бір күн бұрын жеткізіп берді.  ",5,kaspi
Заряды бірақ күнге шыдайды. Барлығы жақсы.,5,kaspi
Жылдам әрі жақсы сөйлеседі.,5,kaspi
"Өте күшті, жақсы.",5,kaspi
Бастысы балама ұнады.,5,kaspi
Өте керемет. Рахмет.,5,kaspi
Қолға таққанда өте ыңғайлы құрылғы екен. Спортпен көбірек айналысуға мотивация пайда болды.,5,kaspi
Ұнайды.,5,kaspi
Сапасы бәрі жақсы.,5,kaspi
Өте жақсы.,5,kaspi
"Күткен уақытта келді, еще бармай ақ тура размерді алуға көмектесті. Үлкен рахмет.",5,kaspi
"Бағасына лайық, базардан таппайсың.",5,kaspi
"Өте жақсы. Сапалы, маған ұнады.",5,kaspi
"Маған қатты ұнады, іші кең, үлкен, рахмет.",5,kaspi
Сапасы жақсы. Ыңғайлы.,5,kaspi
Сапасы жақсы. Алуға болады астының замогы ашылады және үлкейеді. Бағасы қымбат емес.Каспи қызметкерлеріне курьерлерге рахмет! Үйден шықпай-ақ керек заттарымызды жеткізіп береді бөліп төлеу т.б. өте ыңғайлы жасалған.,5,kaspi
"Жақсы, маған ұнады.",4,kaspi
Сөмке маған қатты ұнады. Сапасыда жақсы. Алғаныма еш өкінбеймін. Рахмет Каспиге.,5,kaspi
Ыңғайлы.,5,kaspi
"Ұнады, жолға жеңіл киімдерді, заттарды салып алғанға! Еш өкінбеймін, айтылған күні жеткізілді! Бірінші тапсырыс емес! Тұрақты қолданушысымын! Рахмет!",5,kaspi
