text,label,source
"экранның оң жағын басса, ауысады",1,kitap
Шыны керек тамаша әңгіме,5,kitap
"Шығарма өте керемет ! Бәрінен бұрын осы оқиғаның бақытты аяқталғанына бақыттымын! Қожаштың батылдығына , Ғайшаның махаббатына тәнтімін!",5,kitap
"Шығарма керемет, оқыған кісі көп қате оқыды. Кей жерлері естілмей қала береді",5,kitap
"Шіркін, жалғасы болса ғой.....",5,kitap
Фантазиялық кітап екен,5,kitap
Ұнайды,5,kitap
узак жүктеледі,1,kitap
тым керемет жазылғанн💔,5,kitap
"Тұнып тұрған тәрбие, ата-аналар оқыңыздар, қайталап оқыңыздар қайта қпйта",5,kitap
"Түсінбедім, кітаптың басы бар аяғы жоқ. Алғы сөзден бітеді.",1,kitap
толық нұсқасы осы ма ?¿,1,kitap
Толык емес,1,kitap
"Тіркеліңіз деген талап бойынша, тіркеліп, күнде оқып жүр едім. Бүгін күндегідей тіркеліңіз деп шықты, талап бойынша әрекет етсем де кіре алмай-ақ қойдым... Неге? Амал жоқ басқа аккаунтпен кірдім. Жүйкеге тиеді екен. Ал, жалпы жақсы.",1,kitap
тамаша!,5,kitap
Тамаша кітап...,5,kitap
тамаша кітап. өмірдің бар шындығы жазылған. бетті оң жақ ты немесе сол жақты басып ауыстырады,5,kitap
тамаша кітап,5,kitap
Тамаша жазылған шыншыл трагедия,5,kitap
Тамаша ертегілер! Балаларға ұнап жатыр.,5,kitap
"тамаша , бірақ бір мін бар бағдарлама тым ауыр ма әлде қалай, құлаққаппен тыңдап келе жатқанда аудионы тартып үлгере алмайды , қайта ашқан кезде қатып қалады . осы жағын оңасаңыз.",5,kitap
тамаша,5,kitap
Сығысқаны керемет екен...,5,kitap
Сөз жоқ берері көп кітап,5,kitap
"соңы қайғымен біткені ұнамады әрине , ойыма заман өзгерді ме адам өзгерді ме деген сөз келді неге десеңіз со замандада қастық , өшпенділік , қызғаныш , араға от салу пұлға өз туғанын сату бір сөзбен айтқанда азғындық болған екен гой деймін, о заман мен бұ заманнын айырмасы қазір соц сеть арқасында ештене жасырын қалмайды сол сәтте ақ бәрін біліп көреді. Бұ заманда адамдықтын құны қатты арзандап бір тиын болды десем артық емесссс…",5,kitap
Сайт жақсы жасалған екен. Бірақ қолдаушылар аз болғаны нашар,1,kitap
"Рустем Жүніс мырзаның дауысы керемет құлаққа жағымды, миға сіңімді дауыс",5,kitap
"Ренжімеңіздер, дегенмен өте нашар. Тоқтап қала береді. Бірнеше рет өшіріп қайта қоса отырып 20минут әрең тыңдай алдым,сосын мүлдем қосылмай қалды. Түсетесіздер деп үіттенемін",1,kitap
рахмет!!,5,kitap
Рахмет!,5,kitap
Рахмет,5,kitap
Рахмеет😍🤩🥰,5,kitap
рахмеет,5,kitap
Пікір....,5,kitap
Пікір жазу...,5,kitap
өтке керемет сипатталған,5,kitap
Өтке керемет кітәп,5,kitap
Өтеееее керемееееет!🤩👍🏻⭐️Бірақ тым қысқа екен! Менің берген бағам👇🏻 ⭐️⭐️⭐️⭐️⭐️,5,kitap
Өте ыңғайлы приложение екен. Көп-көп рахмет😌,5,kitap
"Өте шынайы , қызық әрі қайғылы екен . Мектепте оқып , толығын оқығым келіп жүрген еді , көп-көп рахмет .",5,kitap
Өте тамаша кітап,5,kitap
Өте тамаша,5,kitap
Өте пайдалы,5,kitap
Өте өте керемет китап,5,kitap
ӨТЕ ӨТЕ КЕРЕМЕТ ЖӘҢЕ ҚЫЗЫҚТЫ,5,kitap
Өте өте керемет,5,kitap
Өте өте кереме,5,kitap
Өте өте жақсы!!керемет!!!,5,kitap
Өте қызықты😍,5,kitap
Өте қызықты кітап маған ұнады 🙂,5,kitap
Өте қызықты кітап,5,kitap
"өте қызық, кейде күлкінішті, кейде өкінішті жерлері көп оқуға ұсынамын👍",5,kitap
Өте құаныштымын осы шығарманы оқып шықаныма.,5,kitap
Өте күшті👍,5,kitap
"Өте күшті. Дем дегенде тыңдап бітірдім, кино көргендей. Күшті жазылған және кітапты оқушының да шеберлігіне де тәнтімін.",5,kitap
өте күшті,5,kitap
Өте керемет!!! Осындай кітаптарды шыгарып тұрыңыздар👍,5,kitap
Өте керемет! Фантастика ұрып тұр😉,5,kitap
Өте керемет! Дауыстаған кісі бір бөлек! Тыңдай бергін келеді тыңдай бергін.,5,kitap
Өте керемет! Дами беріңіздер! Керемет дыбыстама ♥♥♥♥♥♥♥,5,kitap
Өте керемет! Балаларға да ересектерге қызықты болатын оқиға екен.,5,kitap
Өте керемет!,5,kitap
"Өте керемет, тақырыбында мән бар.",5,kitap
"өте керемет, күшті әсер алдым",5,kitap
Өте керемет шығарма!!,5,kitap
Өте керемет шығарма 7-8 жыл бұрын оқыған едім,5,kitap
"Өте керемет туынды! Адамзаттың бұла шағы- балалық шағын көркемдеп , бүткіл болмысыңды сыйқырлап, еліктіріп, ерітіп тіл жеткізсіз сезімге бөлейдау кеп!",5,kitap
өте керемет толық тыңдап шықтым,5,kitap
Өте керемет роман,5,kitap
Өте керемет пайдалы,5,kitap
Өте керемет оқыды. Шығарма өте қатты ұнады,5,kitap
Өте керемет маған қатты үнады,5,kitap
өте керемет қазақ рухын жаңғыртайық,5,kitap
"Өте керемет кітап.Ия тарихи бұрмалану болса да,автор өз ойын керемет жеткізген.Екіншіден,кітапты оқи отыра небір керемет оқиғалар мен ата-бабаларыңыздың жауынерлік мінездерімен таңыс бола аласыздар!!!",5,kitap
өте керемет кітап!!,5,kitap
"Өте керемет Кітап, маған өтее қатты әсер етті",5,kitap
"өте керемет кітап екен, тыңдаған сайын ішіне кіріп кетесің, осындай ғылыми кітап болса тағыда оқысаңыз өтініш, 👍👍👍👍👍👍👍👍👍",5,kitap
Өте керемет кітап,5,kitap
Өте керемет жазылған тіпті эмотциямды ұстай алмай жылап жібердім 👏🏻🥺,5,kitap
өте керемет жазған екен барша жастарымыз оқып біліп жүрсе екен кезінде Рассия патшайымы Елизавета 2 айтып кеткендей Қазақтар өздерінің кім екенін білсе дуние жүзін жаулап алар еді деп айтқан екен,5,kitap
Өте керемет екен,5,kitap
өте керемет,5,kitap
Өте керекті және керемет кітап,5,kitap
Өте кереемет👍👍👍,5,kitap
өте жәй даусы қатты естілмейді. Тіпті қатты шығарғанның өзінде де телефонды құлағыңа тақап тыңдап отырмасаң естілмейді.,5,kitap
Өте жақсы!!,5,kitap
"Өте жақсы шығарма екен.Қазақ қызы Ұлпандай болса,қазіргі ерлеріміз батыл,ірі кесек мінезді, қыздарымыз қылықты болар еді.",5,kitap
"өте жақсы ұнады осындай жақсы, жақсы әңгімелер көп болса жақсы болар еді,бірақ ешқандай мөлдір махаббат түгілі жай махаббатта болмады бұл кітаптың атын өзгерту керек",5,kitap
өте жақсы роман,5,kitap
Өте жақсы рахмет!!!,5,kitap
"Өте жақсы кітап. Қазақтың әр жасы оқып, қыздарымыз Ұлпандай ақылды, әділ, көркем болса, ұлдарымыз Есекеңдей батыл да қайратты ер болып ой түзесе, алар әсер өте көп. Бірақ кітапты осы бағдарламаға түсірген кезде жазылуынан өте көп қате кеткен, соған үлкен мән берсеңіздер, онсызда шалақазақтанып бара жатырған заманымызда әдеби кітаптарымызды қатесіз оқиық. Рахмет.",5,kitap
Өте жақсы жарайсыздар))),5,kitap
өте жақсы жазылған кітап,5,kitap
Өте жақсы әңгіме,5,kitap
өте жақсы ақпарт,5,kitap
Өте жақсы 👍,5,kitap
Өте жақсы,5,kitap
Өте әсерлі. 2-3 кітаптарды онлайн нұсқасын салсаныздар жақсы болар еді.,5,kitap
Өте әсерлі көзіме жас келді. Мухтар Мағауин улы жазушы қазақтың маңдайына біткен азамат. Аман болыңыз,5,kitap
Өте әсерлі кітап. Оқуға кеңес беремін 👍,5,kitap
өте әсерлі,5,kitap
Өмірмен сабақтастық айқын көрініп тұр.,5,kitap
Өмірлік мәні бар,5,kitap
"Өзімнің туған қаламда болған оқиға,керемет!әсерлі",5,kitap
Өзектілігі әлі де жойылмаған мәселе. Керемет жазылған поэма!,5,kitap
"Өз көзіме сенбей ашып отырмын, бұл керемет кітап енді қазақ тілінде оқуға болытынын оның үстіне тегін 👍🏼😘",5,kitap
оте нашар кітаптар ашылмайт шыгарып жібере берет,1,kitap
Оте кушты кытап,5,kitap
"оте керемет китап екен,маган унады Менде Абай атамыз сиякты болгым келеди",1,kitap
оте керемет бір сарында оқып шықтым илияс атамызға мың алғыс біздің тарихымызды біздің алдымызға оқуға ұсынғаны үшін,5,kitap
Оте керемет,5,kitap
"Оте жаксы китап, кыздарыммен бирге 2 рет тындадык☺️",5,kitap
Осындай кітаптар көп болсын!,5,kitap
оқып бермейді ғой,1,kitap
оқылмай тұрр,1,kitap
оқыған ендім бұл кітапты аудиомен тіпті керемет !,5,kitap
Окып корейик,5,kitap
неткен жауыздық...надандық,1,kitap
Негізі жақсы кітап. Соңы түсініксіз аяқталғаны болмаса. Оқыңыздар,5,kitap
неге тындалмайды,1,kitap
Неге толық тартылмайды . Өтініш тағы дамытып жіберсеніздер,1,kitap
Неге толык емес,1,kitap
"неге тек 68 бет гана, жалгасы неге жок???",1,kitap
неге отбасы хрестоматиясындағы кітаптар ашылмайды?,1,kitap
неге оқи алмай отырмыз,1,kitap
Неге кітап толық емес? 171 бетпен бітіп қалған…,1,kitap
Неге жұктелмейді,1,kitap
Неге жуктелмеид. тндалмаид. қатад. алы браз дамыту керек. Шетелдин программалары жаксы ыстидгой осы,1,kitap
неге долго жуктеледи,1,kitap
Неге әрі қарай тыңдалмайды? басқа беттері оқылмаған ба?сонда кім кітапты басынан аяқ тыңдады шынымен соңына дейін оқылғанына сенбеймін.4бөлім 9.одан ары жоқ неге ?,1,kitap
неге ашылмайды?,1,kitap
неге 13 бөлімде дауыстар арласып кеткен түк түсінбей қалдым,1,kitap
не деген тамаша!,5,kitap
мына бағдарламаларыңыз жақсы екен және өтғ сапалы. Дами беріңіздер,5,kitap
Мықты,5,kitap
мұнда толық жазылған ба??,1,kitap
мүлдем ашылмайды,1,kitap
мотивация ға жақсы екен,5,kitap
Молодец жақсы айттын,5,kitap
"Мен түсінбедім, кітаптың жалғасы қайда? алғы сөзден басқа ештеңе шықпады",1,kitap
Мен осы шығарманы оқығаныма,5,kitap
"мен ноутбукпен кірдім кітап ашылып тұр,",5,kitap
Мен жайылымды сатып алдым бірақ оны бостан бос кетірдім өте жаман 👎👎👎👎👎👎,1,kitap
мен әлі оқыған жоқпын! бірақ маған қызық болатын секілді! оқуды бастап жатрмын,5,kitap
маған ұнады,5,kitap
маған түсінік айтып бере аластарма мен түсінбедім,5,kitap
"Маған өте қатты ұнады! Диктор өзі сол соғыста болып шыққан сияқты, әңгімені айтып берді.Еңбектеріңізге үлкен рахмет!!!",5,kitap
маған өте қатты ұнады,5,kitap
маған кітап ұнады!,4,kitap
Маған ең ұнаған кітап осы болды😍,5,kitap
Маган унады,4,kitap
ма ша Аллах,5,kitap
қызыл жеңді,5,kitap
