text,label,source
sulu tan kalasin,1,maps
"Өте керемет салынған мешіт
Үлкен ,көркем ,әрі проектасы  келісімді ою өрнегі бәрі көз тоймайды әдемелігінде",5,maps
"Керемет заманауй технологиямен салынған, Қазақстандағы ең үлкен де көркем мешіттердің бірі.",5,maps
Өте тамаша мешіт бүгін бірінші кіруім маған қатты ұнады недеген үлкен зал,5,maps
"Имамдар өте сауатты, сабақтары жақсы өтеді, әсіресе Шалқар ұстаз бен Бақытжан ұстаздың",5,maps
"Кең, таза, іші де, сырты да әдемі ғимарат.",5,maps
Қазақ астанасы Астананың әдемі мешіттерінің бірі.,5,maps
Керемет мешіт іші таза . Ішінде жүрген өте жағымды,5,maps
"Ну что можно сказать?! Мешіт ашық, жарық,жылы. Әйтеуір өзім кірсем жүрегім жайланып, быр керемет сезім кернейді.",5,maps
Өте керемет. Тіптен сыртқы аулада жүрсенде бір сергіп жеңілденіп қаласын.,5,maps
Маған бұл жер өзіне тән сәулетімен ұнайды.,5,maps
"Осы мешітте атамызға ас берілді. Асханасы кең, столдары дөңгелек, өте ыңғайлы. Официанттары да тәрбиелі, өз жұмыстарын артық сөзсіз істейді. Ет жақсы асылған, дәмді. Усынамын",5,maps
Керемет Аллаһ Тағаланың көркем үйі.,5,maps
Алланың үйі қай жердеде керемет,5,maps
Орта Азиядағы ең үлкен жəне сəулеті жағынан танымалы мешіттермен бəсекелікке тұра алатын мешіттің бірі деп санаймын! Жəне ішкі инженерлік жүйелер соңғы заманауй талаптарға сай жасалған.,5,maps
"Өте әдемі салынған мешіт екен,іші де,сырты да...",5,maps
Керемет мешіт! Іші де сырты да көз қызығарлық,5,maps
Жақсы мешіт. Мага ұнайды,5,maps
Аллаға шүкір!!! Керемет мешіт. Ішіндегі асханасы керемет. Имамдарда өте білімді. Алланың нұры жаусын.,5,maps
"Керемет, өте жақсы",5,maps
Алланың үйі ең керемет көрініс,5,maps
Адам аз. Орын жетеді іштен,5,maps
Әрдайым жұмадағы жамағат толы 🤲 …,5,maps
". Бұрын жақсы еді. Қазір бөліп, қайдан кіріп , қайдан шығатыныңды білми басың айналып шығады.",5,maps
Мешітте бәрі керемет барлық жағадай жасалған,5,maps
Алла үйінде біраз отырып қайтсам жүрегім жәй табады. Басымдағы соншама уайымдардың түкке тұрасыз екенін Алла өз орнына қоятынына күмәнім жоқ.,5,maps
Алла разы болсын.,5,maps
"Намаз оқуға өте ыңғайлы, кең. Дәрет алатын жері таза, ыңғайлы. Әрі жылы.",5,maps
Өте керемет архитектура!,5,maps
"Ішіне өте көп адам сияды, дәретхана да үлкен таза, Асхана және 2 - 3 мұсылман заттар бутигі бар. Бір кінарасы бұл жер намазға емес, туризм мен экскурсияға бұрып тұрады. Намаз оқуға емес, жай қарап, фото видеоға түсіріп кете береді. Ниетті жинау қиындау. (О, бізде ғой қалай, мешітке кірсең бәрін ұмытады)",5,maps
Орта Азия дағы ең үлкен мешіт,5,maps
Аллаға шүкір! Құлшылық жасайтын өте тамаша мешіт!,5,maps
"Өте әдемі, сабырлық",5,maps
"Орталық Азиядағы ең үлкен мешіттердің бірі. Архитектурасы өте жақсы. Іші кең. Ішінде ас беруге арналған халал рестораны, кітап, жайнамаздар және т.б. сататын дүкендері бар. Қызмет көрсету сапасы жоғары деуге болады. Бірақ жұма күні көп халық келгенде әрине қызмет сапасы төмендейді. Жұма намазына уақыт жақындап қалғанда көлік қоятын орын болмай қалады. Ішінде намаздан кейін аяқ киім алуға, сыртқа шығуға кезек болып қалады. Меніңше халық көп болған соң бұл заңды құбылыс. Өзіме бұл мешіт өте ұнайды",5,maps
Өте керемет мешіт,5,maps
